IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP113
3292;"Москва, магазин &amp;quot;Лепнина&amp;quot; (ИП Алекперов  В.Г.) ";"51 км МКАД, разв. ""Очаково-Заречье"", стр.2, ТК ""ЭлитСтройМатериалы"",  павильон № А-14";"ТК ""ЭлитСтройМатериалы""";;ИП Алекперов  В.Г.;"магазин ""Лепнина""";+7 (495) 710-79-64;decorru@yandex.ru;3109
3300;Великий Новгород, Салон «ОБОИ ЭРИСМАНН» (ИП Вакурова Л.М.) ;улица Ломоносова, д. 20, к. 1, стенд 2;Собственное встроенное помещение;;ИП Вакурова Л.М.;Салон «ОБОИ ЭРИСМАНН»;9116075445;salon38@mail.ru;3299
3303;"Киров, Торговый Центр &amp;quot;СтройРемо&amp;quot; (ИП Кузницына Екатерина Андреевна) ";улица Труда, д. 71, 2 этаж;"Торговый Центр ""СтройРемо""";;ИП Кузницына Екатерина Андреевна;"Торговый Центр ""СтройРемо""";+7 (8332) 43-25-00;office@decorika43.ru;3302
3306;"Ярославль, Магазин &quot;Элит Интерьер&quot; (ИП Алекперов В.Г.; ИП Парецкий М.Г.) ";улица Полушкина роща, д. 9, стр. 14, пав. А1-3, А1-4, А1-22;ОТК Тандем;;ИП Алекперов В.Г.;Элит Интерьер;4852780781;"yar780781@gmail.com; Elit780781@gmail.com";3237
3317;Кострома, Группа компаний «Кредо» (ИП Кувтырева Л.М.) ;Кинешемское шоссе, д. 31;;;ИП Кувтырева Л.М.;Группа компаний «Кредо»;"+7 (4942) 39-20-26; +7 (910) 929-20-26";lepnina44@gmail.com;3316
3322;Владимир, ИК Объект (ИП Смышляев С.Ю.) ;улица Студеная гора, д. 34-А;Интерьерная компания Объект;За бизнес-центром;ИП Смышляев С.Ю.;ИК Объект;"+7 (499) 755-52-27; +7 (926) 274-70-37";info@planeta-decora.ru;3321
3327;"Ульяновск, ООО &amp;quot;РАДА&amp;quot; (ООО &amp;quot;РАДА&amp;quot;) ";9 -й проезд Инженерный, д. 30, , строение 7;Промышленная зона;;"ООО ""РАДА""";"ООО ""РАДА""";"+7 (8422) 26-00-11; +7 (927) 833-09-84";ul.evroplast@gmail.com;3326
3332;"Липецк, Дизайн-Центр &amp;quot;Ар-Декор&amp;quot; (ООО &amp;quot;Ар-Декор&amp;quot;) ";улица Петра Смородина, д. 9а, пав. 19;"Дизайн-Центр ""Ар-Декор""";Октябрьский рынок;"ООО ""Ар-Декор""";"Дизайн-Центр ""Ар-Декор""";+7 (4742) 45-29-33;ardekor@rambler.ru;3331
3337;"Сухум, Магазин-салон &quot;Лепнина и Декор&quot; ";улица Конфедератов, д. 23;;На пересечении с ул. Лакоба;ИП Глушкова С.В.;"""Лепнина и Декор""";"9409930669; 9409997070";ra_simone@mail.ru;3336
3341;"Архангельск, Дизайн-студия &amp;quot;Лигрант&amp;quot; (ООО &amp;quot;Дизайн-студия &amp;quot;Лигрант&amp;quot;&amp;quot;) ";ул. Набережная Северной Двины, д.71, 1 этаж;ЖК «Омега Хаус»;;"ООО ""Дизайн-студия ""Лигрант""""";"Дизайн-студия ""Лигрант""";+7 (8182) 47-52-48;arh.evroplast@inbox.ru;3340
3349;"Караганда, Салон-магазин &quot;Стиль-А&quot; (ТОО Magic house) ";ул. Ерубаева, д. 52/2, этаж 1 и 2;;дом расположен во дворах;ТОО Magic house;"Салон-магазин ""Стиль-А""";"7016541704; 7212478568";;3347
3351;"Кокшетау, Торговый дом &quot;Декор&quot; (ИП Гаврилов) ";ул.Ауельбекова, д.168, 1 этаж;"ТД ""Декор""";угол ул. Пушкина;ИП Гаврилов ;"Торговый дом ""Декор""";"7162763606; 7162763403; 7162763404";region2@premiera.kz;3350
3434;Элиста, Стройарсенал ;ул.Ленина, д. 7, стр.1 (этаж 1-2);Торговый дом;;ИП Железная Л.Н.;"Торговый дом ""Стройарсенал""";8472231049;stroyarsenal08@mail.ru;3431
3444;"Череповец, Строительный центр &quot;Квартирный вопрос&quot; (ИП Сальцман И.И.) ";Шекснинский пр-т, д. 25;;;ИП Сальцман И.И.;"Строительный центр ""Квартирный вопрос""";"9535203977; 8202640248";ks-studiya@yandex.ru;3443
3461;Ишим, СтройМаг, магазин отделочных материалов (ИП Филипюк Елена Васильевна) ;улица Гаранина, д. 1;СтройМаг, магазины отделочных материалов;;ИП Филипюк Елена Васильевна;СтройМаг, магазин отделочных материалов;"+7 (34551) 7-28-69; +7 (34551) 7-84-74";stroi-mag2@yandex.ru;3456
3482;"Курган, &quot;Зауральский Домострой&quot; Дизайн-студия «Строй de Lux»  ";ул. Куйбышева, д. 36, стр. 3 (2 этаж);;ТЦ «Зауральский ДомоСтрой»;ИП Сергеева Александра Анатольевна;Студия «Строй de Lux» ;3522601643;studia5@domstroy45.ru;3481
3483;Курган, магазин Артекс (ИП Горбунов П.Ю.) ;ул. Куйбышева, д. 36/5 (1 этаж), образцы, инсталляция;"магазин ""Артекс""";;ИП Горбунов П.Ю.;"магазин отделочных материалов ""Артекс""";3522465491;artex.santeh@yandex.ru;3481
3485;"Курск, &quot;Дом обоев&quot; на Добролюбова (ИП Шаталова Т.Л.) ";улица Добролюбова, д. 15а, 2 этаж;Торговый центр;;ИП Шаталова Т.Л.;Дом обоев;"4712396136; 4712396135";oboidom@yandex.ru;3154
3489;"Липецк, Дизайн студия &quot;Дольмен&quot; ";улица Верхняя, д. 86а;"Дизайн студия ""Дольмен""";;ИП Филинская;"Дизайн студия ""Дольмен""";"4742376960; 4742376622";;3331
3490;"Липецк, Магазин отделочных материалов &quot;Новый Век&quot; ";переулок Пестеля, д. 38;"Магазин отделочных материалов ""Новый Век""";;;"Магазин отделочных материалов ""Новый Век""";4742333939;;3331
3492;"Липецк, Студия обоев &quot;Ванильное Небо&quot; ";улица Первомайская, д. 77в;;;ИП Трофимов;"Студия обоев ""Ванильное небо""";4742232322;;3331
3493;"Липецк, Торговая компания &quot;Артико Холл&quot; ";улица Водопьянова, д. 17;;;"Торговая компания ""Артико Холл""";"Торговая компания ""Артико Холл""";4742406378;;3331
3506;Москва, Лепнина, Фрески (ИП Липадат С.Л.) ;Волоколамское ш., 103, пав. Б-7;ТК Гвоздь;;ИП Липадат С.Л.;Лепнина, Фрески;"+7 (926) 722-60-81; +7 (926) 049-06-59";lipadat@mail.ru;3109
3512;Москва, Лепнина Двери (ИП Новиков А.В.) ;"МКАД, 41 км, Внешняя сторона, ТК ""МЕЛЬНИЦА"", павильон Д25/3";;;ИП Новиков А.В.;Лепнина Двери;+7 (926) 496-23-60;zakaz@evroplast-online.ru;3109
3514;Москва, ТК Мельница (ИП Цыбулева Е.И.) ;"МКАД, 41 км, Внешняя сторона, ТК ""МЕЛЬНИЦА"", павильон Г20";;;ИП Цыбулева Е.И.;ТК Мельница;+7 (963) 631-53-62;cue1977@mail.ru;3109
3516;"Москва, ТЦ &quot;ЭлитСтрой материалы&quot; (ИП Налбантов И.А.) ";"51 км МКАД, разв. ""Очаково-Заречье"", стр.2,  павильон № С-31, В-6";"ТЦ ""ЭлитСтрой материалы""";;ИП Налбантов И.А.;Лепные Декоры ;84957107949;7853505@mail.ru;3109
3518;Мытищи, Дом-декора (ИП Кулебякина Т.В.) ;г. Мытищи, Олимпийский пр-т, д. 29, корпус 1, этаж 1 (цокольный);"ТЦ ""Формат""";;ИП Кулебякина Т.В.;Дом-декора;"4955850042; 9859633728";tatiana16.11.08@mail.ru;3109
3523;"Нижний Тагил, Салон &quot;DERUFA&quot; (ООО &quot;Кристалл&quot;) ";ул. Карла Маркса, д.63а, 1 этаж (инсталляция);Салон магазин;;"ООО ""Кристалл""";Салон DERUFA;"3435410225; 9049845659";dekor-nt@rambler.ru;3522
3548;Орск, Миал ;проспект Ленина, д. 45;Миал-Орск;;ИП Швабенланд Л.Г.;Миал-Орск;"3537236818; 3537211623";mial-orsk@mail.ru;3547
3557;Первоуральск, студия «ARCHIVISION» (ИП Незговорова А.А.) ;ул. Чкалова, 43 (образцы);;;ИП Незговорова А.А.;студия дизайна интерьеров «ARCHIVISION»;3439221333;archivision@mail.ru;3556
3589;Санкт-Петербург, Салон Piterra Home (PITERRA) ;ул. Уральская, д. 13;отдельный салон;;;PITERRA;8007070167;shop@piterra.ru;3196
3609;Тамбов, ИП Дудник И.П. ;улица Советская, д. 191 А;;;ИП Дудник И.П.;ИП Дудник И.П.;89106528893;;3211
3611;"Тамбов, Салон &quot;Декорация&quot; (ИП Егорова З.Р.) ";улица Интернациональная, д. 30 А, этаж 2;Площадь Ленина;Налево в красную дверь;ИП Егорова З.Р.;Салон Декорация;9107527525;décor.tmb@mail.ru;3211
3613;Тамбов, Строй Град ;улица Киквидзе, д. 69 Б;;;Строй Град;Строй Град;89158680070;;3211
3614;"Тамбов, ТД &quot;Интерьер&quot; ";улица Коммунальная, д. 21 А;рынок;;"ТД ""Интерьер""";Обои Русь;84752713032;;3211
3615;"Тамбов, Магазин &quot;Decobuilt&quot; ";улица Мичуринская, д. 215;;;"Магазин ""Decobuilt""";"Магазин ""Decobuilt""";89204772222;;3211
3640;"Тюмень, Салон &quot;Архитектурный Декор&quot;  ";улица Пархоменко, д.119, 1 этаж;;;"1. ООО ТК ""Архитектурный декор""; 2. ИП Чащилов А.П.";"""Архитектурный декор""";3452595409;galant-pd@mail.ru;3220
3641;"Тюмень, Салон &quot;Архитектурный Декор&quot; в ТЦ &quot;Орион&quot; ";улица Федюнинского, д. 43, 1 этаж;"ТЦ ""Орион""";;"1. ИП Чащилов  А.П.; 2. ООО  ";"Салон ""Архитектурный декор""";3452546226;546226-orion@mail.ru;3220
3642;"Тюмень, ул. 50 лет ВЛКСМ, 13, салон &quot;Архитектурный декор&quot;  ";улица 50 лет ВЛКСМ, д. 13;;;"1. ИП Чащилов А.П.; 2. ООО ТК ""Архитектурный декор""";"Салон ""Архитектурный декор"" ";"3452595746; 3452595745";info@decor-ad.ru;3220
3643;"Улан-Удэ, Гипермаркет &quot;СМИТ&quot; ";улица Жердева, д. 8а;"Гипермаркет ""СМИТ""";;ИП Доржиев Г.Ю.;"""СМИТ""";3012297800;kaporskaya@smit.stbur.ru;3275
3645;"Ханты-Мансийск, Салон интерьера &quot;Декор Стайл&quot; ";ул. Промышленная , д. 12, 1 этаж;"Салон интерьера ""Декор Стайл""";;ИП Иванов Вадим Русланович;"салон интерьера ""Декор Стайл""";"9519618500; 3467337755";decorst@mail.ru;3644
3646;"Ханты-Мансийск, Магазин &quot;Еврострой&quot; (ООО &quot;ИНТЕРЬЕР+ &quot; Чащилова) ";улица Чехова, д. 82, (1, 2 этаж);"Магазин ""Еврострой""";;"ООО ""ИНТЕРЬЕР+ """;"ТЦ ""Еврострой""";"3467928306; 9527000117";interplus86@mail.ru;3644
3649;"Чита, ООО &quot;Респект ЛТД&quot; ";улица Ингодинская, д. 11;магазин Респект;;"ООО ""Респект ЛТД""";Респект;3022268717;dmitry_respect@mail.ru;3235
3650;"Чита, ООО &quot;Респект ЛТД&quot; ";улица Курнатовского, д. 25, пав. 47;Строит рынок Город Мастеров;;"ООО ""Респект ЛТД""";Респект;3022267484;dmitry_respect@mail.ru;3235
3651;"Чита, ООО &quot;Респект ЛТД&quot; ";улица Курнатовского, д. 25, пав. 91;Строит рынокГород Мастеров;;"ООО ""Респект ЛТД""";Респект;3022358960;dmitry_respect@mail.ru;3235
3652;"Чита, ООО &quot;Респект ЛТД&quot; ";улица Чкалова, д. 1А, пав. 11;Строит рынок Стройград пав 11;;"ООО ""Респект ЛТД""";Респект;3022311306;dmitry_respect@mail.ru;3235
3653;"Чита, ООО &quot;Респект ЛТД&quot; ";улица Вокзальная, д. 3, пав. 32;Строит рынокМегаСтрой пав 32;;"ООО ""Респект ЛТД""";Респект;3022312979;dmitry_respect@mail.ru;3235
3654;"Чита, ООО &quot;Респект ЛТД&quot; ";мкр. Геофизический, д.27, пав. 12;Строит рынок Солнечный;;"ООО ""Респект ЛТД""";Респект;3022457364;dmitry_respect@mail.ru;3235
3675;"Москва, &quot;Элит Интерьер&quot;, магазин &quot;Европласт&quot; в ТК &quot;Город - Лефортово&quot; (ИП Алекперов В.Г.) ";"ш. Энтузиастов, д.12/2, ТК ""Город - Лефортово"", 3-й этаж.";"ТК ""Город - Лефортово""";;ИП Алекперов В.Г.;"""Элит Интерьер"", магазин ""Европласт""";9160580011;decorru@yandex.ru;3109
3692;Актобе, Салон АртДекор (ТОО РИА Престиж) ;пр.Абилкайыр Хана, д.88;;"здание ""Неке Сарайы""";ТОО РИА Престиж;Салон АртДекор;7776455210;region1@premiera.kz;3691
3694;"Баку, Салон &quot;Elit Interior&quot;, Prospekt Axmeda Radjebli ";улица Prospekt Axmeda Radjebli, 52А;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994552225151;decorru@yandex.ru;3287
3695;"Баку, Салон &quot;Elit Interior&quot;, Prospekt Xatai  (ИП Алекперов В.Г.) ";улица Prospekt Xatai, д. 26;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994503556666;decorru@yandex.ru;3287
3699;"Кострома, Салон декоративных покрытий &quot;KADORO&quot; ";улица Ерохова, д. 3 «А»;;;ИП Соловьева М.М.;Салон декоративных покрытий KADORO;"4942470282; 9536419338";kadoro-k@mail.ru;3316
3700;"Кострома, Студия дизайна &quot;NeoHouse&quot; ";улица Никитская, д. 15;;;ИП Софронова М.А.;студия дизайна «Neo House»;"4942472581; 4942472582";e.neohouse@list.ru;3316
3702;"Кострома, Отдел керамической плитки &quot;Альфа-Керамика&quot; ";улица Магистральная д. 15, 2 этаж;ТЦ Паново;;ИП Миронова Л.С.;"Отдел керамической плитки ""Альфа-Керамика""";9101924716;alfa-cerama@inbox.ru;3316
3703;"Кострома, Магазин &quot;ЕвроДом&quot; ";улица Советская, д. 109;;;ИП Попова А.Е.;"Магазин-салон ""ЕвроДом""";9 092 545 882;eurodom44@mail.ru;3316
3705;Шарья, (ИП Вешторт Э.Л.) ;улица Ленина, д. 83, этаж 2;ТЦ Каскад;;ИП Вешторт Э.Л.;ИП Вешторт Э.Л.;9109540404;9109540404@mail.ru;6150
3708;Мурманск, СтройСтудия (ООО Декор 51) ;проспект Ленина, д. 27 А;Торговый центр А-Квадрат;центр 1ого этажа, вывеска СтройСтудия;ООО Декор 51;СтройСтудия;"+7 (8152) 69-07-82; +7 (8152) 69-07-83";stroy-studia@bk.ru;3707
3710;"Пермь, &quot;Декоративка&quot; ТЦ Техас-Строй ";улица Стахановская, д. 54;"ТЦ ""Техас""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422576990;;3182
